"Nome da campanha",Anúncios,Região,Mês,"Status de veiculação","Nível de veiculação","Tipo de resultado",Resultados,"Custo por resultado","Valor usado (BRL)",Impressões,Alcance,"Configuração de atribuição","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão","Nome do conjunto de anúncios","Início dos relatórios","Término dos relatórios"
"[ENGAJAMENTO][MENSAGEM][F] - Publico semelhante","AD NOVO _ Reels","Rio Grande do Sul",2026-04-01,active,campaign,,,,1.55,110,88,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2026-04-01,2026-04-01
"[ENGAJAMENTO][MENSAGEM][F] - Publico semelhante","AD 21 - Vídeo Tábua","Rio Grande do Sul",2026-04-01,active,campaign,,,,9.72,766,647,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2026-04-01,2026-04-01
"[ENGAJAMENTO][MENSAGEM][Q] - Lista + Engajamento IG e FB","AD03 - Vídeo - Tábua","Rio Grande do Sul",2026-04-01,active,campaign,,,,0.07,5,5,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2026-04-01,2026-04-01
"[ENGAJAMENTO][MENSAGEM][Q] - Lista + Engajamento IG e FB","AD NOVO - Reels","Rio Grande do Sul",2026-04-01,active,campaign,,,,1,74,62,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2026-04-01,2026-04-01
"[ENGAJAMENTO][MENSAGEM][Q] - Lista + Engajamento IG e FB","AD 13 - Vídeo Tábua","Rio Grande do Sul",2026-04-01,active,campaign,,,,5.41,402,312,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2026-04-01,2026-04-01
"[VENDAS][SITE][F] - Publico Interesse + Comportamento","AD03 - Video - BOX","Rio Grande do Sul",2026-04-01,active,campaign,,,,2.52,329,194,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2026-04-01,2026-04-01
"[VENDAS][SITE][F] - Publico Interesse + Comportamento","AD NOVO - Reels;...e mais 1 anúncio","Rio Grande do Sul",2026-04-01,active,campaign,,,,3.95,584,365,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2026-04-01,2026-04-01
"[VENDAS][SITE][F] - Publico Interesse + Comportamento","AD 22 - VÍDEO TÁBUA","Rio Grande do Sul",2026-04-01,active,campaign,,,,0.04,7,5,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2026-04-01,2026-04-01
"[ENGAJAMENTO][MENSAGEM][F] - Publico semelhante","AD03 - Vídeo - Tábua","Rio Grande do Sul",2026-04-01,active,campaign,,,,0.77,50,40,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2026-04-01,2026-04-01
"[ENGAJAMENTO][MENSAGEM][Q] - Lista + Engajamento IG e FB","AD NOVO 2 - Reels","Rio Grande do Sul",2026-04-01,active,campaign,,,,0.19,4,3,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2026-04-01,2026-04-01
"[ENGAJAMENTO][MENSAGEM][F] - Publico semelhante","AD 21 - Vídeo Tábua","Rio Grande do Sul","2026-03-03 - 2026-03-31",active,campaign,,,,149.89,12323,7729,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2026-03-03,2026-03-31
"[ENGAJAMENTO][MENSAGEM][Q] - Lista + Engajamento IG e FB","AD NOVO 2 - Reels","Rio Grande do Sul","2026-03-03 - 2026-03-31",active,campaign,,,,14.48,889,625,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2026-03-03,2026-03-31
"[ENGAJAMENTO][MENSAGEM][Q] - Lista + Engajamento IG e FB","AD03 - Vídeo - Tábua","Rio Grande do Sul","2026-03-03 - 2026-03-31",active,campaign,,,,1.79,168,139,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2026-03-03,2026-03-31
"[ENGAJAMENTO][MENSAGEM][Q] - Lista + Engajamento IG e FB","AD NOVO - Reels","Rio Grande do Sul","2026-03-03 - 2026-03-31",active,campaign,,,,16.99,1186,828,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2026-03-03,2026-03-31
"[ENGAJAMENTO][MENSAGEM][Q] - Lista + Engajamento IG e FB","AD 13 - Vídeo Tábua","Rio Grande do Sul","2026-03-03 - 2026-03-31",active,campaign,,,,97.37,9227,5126,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2026-03-03,2026-03-31
"[VENDAS][SITE][F] - Publico Interesse + Comportamento","AD03 - Video - BOX","Rio Grande do Sul","2026-03-03 - 2026-03-31",active,campaign,,,,62.53,7999,3158,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2026-03-03,2026-03-31
"[VENDAS][SITE][F] - Publico Interesse + Comportamento","AD NOVO - Reels;...e mais 1 anúncio","Rio Grande do Sul","2026-03-03 - 2026-03-31",active,campaign,,,,57.32,7938,3163,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2026-03-03,2026-03-31
"[VENDAS][SITE][F] - Publico Interesse + Comportamento","AD 22 - VÍDEO TÁBUA","Rio Grande do Sul","2026-03-03 - 2026-03-31",active,campaign,,,,110.39,15685,5598,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2026-03-03,2026-03-31
"[ENGAJAMENTO][MENSAGEM][F] - Publico semelhante","AD03 - Vídeo - Tábua","Rio Grande do Sul","2026-03-03 - 2026-03-31",active,campaign,,,,3.33,236,194,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2026-03-03,2026-03-31
"[ENGAJAMENTO][MENSAGEM][F] - Publico semelhante","AD NOVO _ Reels","Rio Grande do Sul","2026-03-03 - 2026-03-31",active,campaign,,,,34.16,2505,1567,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2026-03-03,2026-03-31
